"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","265","Create file","LMS service","Fri Sep 12 16:36:46 UTC 2025","passed","Fri Sep 12 16:36:47 UTC 2025","Create entity","Files","",""
"","26","Update exercise","LMS service","Fri Sep 12 16:36:44 UTC 2025","passed","Fri Sep 12 16:36:44 UTC 2025","Update entity","Exercises","",""
"","566","Create user","LMS service","Fri Sep 12 16:36:49 UTC 2025","passed","Fri Sep 12 16:36:49 UTC 2025","Create entity","Users","",""
"","25","Get exercise","LMS service","Fri Sep 12 16:36:44 UTC 2025","passed","Fri Sep 12 16:36:44 UTC 2025","Get entity","Exercises","",""
"","519","Create user","LMS service","Fri Sep 12 16:36:48 UTC 2025","passed","Fri Sep 12 16:36:49 UTC 2025","Create entity","Users","",""
"","32","Create course","LMS service","Fri Sep 12 16:36:42 UTC 2025","passed","Fri Sep 12 16:36:42 UTC 2025","Create entity","Courses","",""
"","18","Get exercises","LMS service","Fri Sep 12 16:36:45 UTC 2025","passed","Fri Sep 12 16:36:45 UTC 2025","Get entities","Exercises","",""
"","258","Create file with empty filename","LMS service","Fri Sep 12 16:36:47 UTC 2025","passed","Fri Sep 12 16:36:48 UTC 2025","Validate entity","Files","",""
"","18","Get file","LMS service","Fri Sep 12 16:36:47 UTC 2025","passed","Fri Sep 12 16:36:47 UTC 2025","Get entity","Files","",""
"","536","Create user","LMS service","Fri Sep 12 16:36:48 UTC 2025","passed","Fri Sep 12 16:36:48 UTC 2025","Create entity","Users","",""
"","41","Update course","LMS service","Fri Sep 12 16:36:43 UTC 2025","passed","Fri Sep 12 16:36:43 UTC 2025","Update entity","Courses","",""
"","19","Create file with empty directory","LMS service","Fri Sep 12 16:36:48 UTC 2025","passed","Fri Sep 12 16:36:48 UTC 2025","Validate entity","Files","",""
"","13","Get user me","LMS service","Fri Sep 12 16:36:50 UTC 2025","passed","Fri Sep 12 16:36:50 UTC 2025","Get entity","Users","",""
"","264","Get file with incorrect file id","LMS service","Fri Sep 12 16:36:49 UTC 2025","passed","Fri Sep 12 16:36:49 UTC 2025","Validate entity","Files","",""
"","31","Delete exercise","LMS service","Fri Sep 12 16:36:45 UTC 2025","passed","Fri Sep 12 16:36:45 UTC 2025","Delete entity","Exercises","",""
"","22","Create exercise","LMS service","Fri Sep 12 16:36:43 UTC 2025","passed","Fri Sep 12 16:36:43 UTC 2025","Create entity","Exercises","",""
"","287","Login with correct email and password","LMS service","Fri Sep 12 16:36:41 UTC 2025","passed","Fri Sep 12 16:36:41 UTC 2025","Login","Authentication","",""
"","306","Get courses","LMS service","Fri Sep 12 16:36:41 UTC 2025","passed","Fri Sep 12 16:36:42 UTC 2025","Get entities","Courses","",""
